Governante;Data de entrada;Data de saída;Classificação;Ministérios;Partido da Pasta;Ministro;Data de entrada;Data de saída;Partido do Ministro
Sarney;15/03/1985;15/03/1990;Ministério;Previdência e Assistência Social;PMDB;Jáder Barbalho;29/07/1988;14/03/1990;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Ciência e Tecnologia;PMDB;Renato Archer;15/03/1985;22/10/1987;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Ciência e Tecnologia;PMDB;Luiz Henrique da Silveira;23/10/1987;29/07/1988;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Ciência e Tecnologia;PMDB;Ralph Biasi;16/08/1988;15/01/1989;PMDB
Sarney;15/03/1985;15/03/1990;Secretaria;Ciência e Tecnologia;PMDB;Décio Leal de Zagottis;03/04/1989;14/03/1990;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Cultura;PMDB;José Aparecido de Oliveira;15/03/1985;09/05/1985;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Cultura;PMDB;Aluísio Pimenta;29/05/1985;14/02/1986;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Cultura;PMDB;Celso Furtado;15/02/1986;01/08/1988;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Cultura;PMDB;José Aparecido de Oliveira;21/09/1988;14/03/1990;PMDB
Sarney;15/03/1985;15/03/1990;Programa/Ministério;Política Fundiária/ Reforma e Desenvolvimento Agrário;PMDB;Nelson Ribeiro;15/03/1985;28/05/1986;sfp
Sarney;15/03/1985;15/03/1990;Ministério;Reforma e Desenvolvimento Agrário;PMDB;Dante de Oliveira;28/05/1986;02/06/1987;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Reforma e Desenvolvimento Agrário;PMDB;Marcos Freire;04/06/1987;08/09/1987;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Reforma e Desenvolvimento Agrário;PMDB;Jáder Barbalho;22/09/1987;29/07/1988;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Reforma e Desenvolvimento Agrário;PMDB;Leopoldo Bessone;17/08/1988;15/02/1989;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Desenvolvimento Urbano e Meio Ambiente;PMDB;Flávio Peixoto;15/03/1985;14/02/1986;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Desenvolvimento Urbano e Meio Ambiente;PMDB;Deni Lineu Schwartz;14/02/1986;23/10/1987;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Habitação, Urbanismo e Meio Ambiente/ Habitação e Bem- Estar Social;PMDB;Prisco Viana;23/10/1987;15/02/1989;PMDB
Sarney;15/03/1985;15/03/1990;Ministério/Secretaria;Administração Pública;PMDB;Aluízio Alves;15/03/1985;15/02/1989;PMDB
Sarney;15/03/1985;15/03/1990;Programa;Desburocratização;PFL;Paulo Lustosa;15/03/1985;14/02/1986;PFL
Sarney;15/03/1985;15/03/1990;Ministério;Irrigação;PMDB;Vicente Fialho;14/02/1986;15/02/1989;PMDB
Collor;15/03/1990;29/12/1992;Ministério;Justiça;ind;Bernardo Cabral;15/03/1990;13/10/1990;PMDB
Collor;15/03/1990;29/12/1992;Ministério;Justiça;PDS;Jarbas Passarinho;13/10/1990;02/04/1992;PDS
Collor;15/03/1990;29/12/1992;Ministério;Justiça;sfp;Célio de Oliveira Borja;02/04/1992;01/10/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Exército;sfp;Carlos Tinoco Ribeiro Gomes;15/03/1990;01/10/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Relações Exteriores;sfp;José Francisco Rezek;15/03/1990;13/04/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Relações Exteriores;ind;Celso Lafer;13/04/1992;01/10/1992;PSDB
