Governante;Data de entrada;Data de saída;Classificação;Ministérios;Partido da Pasta;Ministro;Data de entrada;Data de saída;Partido do Ministro
FHC 1;01/01/1995;01/01/1999;Ministério;Previdência e Assistência Social;PFL;Waldeck Ornélas;07/04/1998;31/12/1998;PFL
FHC 1;01/01/1995;01/01/1999;Ministério;Meio Ambiente, Recursos Hídricos e Amazônia Legal;PFL;Gustavo Krause;01/01/1995;31/12/1998;PFL
FHC 1;01/01/1995;01/01/1999;Ministério;Ciência e Tecnologia;sfp;José Israel Vargas;01/01/1995;31/12/1998;sfp
FHC 1;01/01/1995;01/01/1999;Ministério;Cultura;sfp;Francisco Weffort;01/01/1995;31/12/1998;sfp
FHC 1;01/01/1995;01/01/1999;Ministério;Política Fundiária;ind;Raul Jungmann;30/04/1996;31/12/1998;PPS
FHC 1;01/01/1995;01/01/1999;Ministério;Esportes;sfp;Edson Arantes do Nascimento;01/01/1995;30/04/1998;sfp
FHC 1;01/01/1995;01/01/1999;Secretaria;Assuntos Estratégicos;sfp;Ronaldo Sardenberg;01/01/1995;31/12/1998;sfp
FHC 1;01/01/1995;01/01/1999;Ministério;Coordenação de Assuntos Políticos;PMDB;Luís Carlos Santos;29/04/1996;02/04/1998;PMDB
FHC 1;01/01/1995;01/01/1999;Ministério;Administração e Reforma do Estado;PSDB;Luís Carlos Bresser Pereira;01/01/1995;31/12/1998;PSDB
FHC 1;01/01/1995;01/01/1999;Ministério;Reforma Institucional;PFL;Antônio de Almendra Freitas Neto;07/04/1998;31/12/1998;PFL
FHC 2;01/01/1999;01/01/2003;Órgão da PR;Casa Civil;PSDB;Clóvis Carvalho;01/01/1999;18/07/1999;PSDB
FHC 2;01/01/1999;01/01/2003;Órgão da PR;Casa Civil;sfp;Pedro Parente;19/07/1999;31/12/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Justiça;PMDB;Renan Calheiros;01/01/1999;19/07/1999;PMDB
FHC 2;01/01/1999;01/01/2003;Ministério;Justiça;sfp;José Carlos Dias;19/07/1999;14/04/2000;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Justiça;PSDB;José Gregori;14/04/2000;14/11/2001;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Justiça;PSDB;Aloysio Nunes;14/11/2001;03/04/2002;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Justiça;PSDB;Miguel Reale Júnior;03/04/2002;10/07/2002;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Justiça;sfp;Paulo de Tarso Ramos Ribeiro;10/07/2002;31/12/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Defesa;PFL;Élcio Álvares;01/01/1999;24/01/2000;PFL
FHC 2;01/01/1999;01/01/2003;Ministério;Defesa;sfp;Geraldo Magela Diniz Quintão;24/01/2000;31/12/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Relações Exteriores;sfp;Luiz Felipe Lampreia;01/01/1999;12/01/2001;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Relações Exteriores;PSDB;Celso Lafer;29/01/2001;31/12/2002;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Fazenda ;sfp;Pedro Malan;01/01/1999;31/12/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Transportes;PMDB;Eliseu Padilha;01/01/1999;16/11/2001;PMDB
FHC 2;01/01/1999;01/01/2003;Ministério;Transportes;sfp;Alderico Lima (interino);16/11/2001;03/04/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Transportes;PMDB;João Henrique de Almeida Sousa;03/04/2002;31/12/2002;PMDB
FHC 2;01/01/1999;01/01/2003;Ministério;Agricultura e Abastecimento;PPB;Francisco Turra;01/01/1999;19/07/1999;PPB
FHC 2;01/01/1999;01/01/2003;Ministério;Agricultura e Abastecimento/ Agricultura, Pecuária e Abastecimento;PPB;Pratini de Moraes;19/07/1999;31/12/2002;PPB
FHC 2;01/01/1999;01/01/2003;Ministério;Educação;PSDB;Paulo Renato Sousa;01/01/1999;31/12/2002;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Trabalho e Emprego;PPB;Francisco Dornelles;01/01/1999;03/04/2002;PPB
FHC 2;01/01/1999;01/01/2003;Ministério;Trabalho e Emprego;PPB;Paulo Jobim Filho;03/04/2002;31/12/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Saúde;PSDB;José Serra;01/01/1999;21/02/2002;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Saúde;PSDB;Barjas Negri;21/02/2002;31/12/2002;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Desenvolvimento, Indústria e Comércio;PSDB;Celso Lafer;01/01/1999;19/07/1999;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Desenvolvimento, Indústria e Comércio/ Desenvolvimento, Indústria e Comércio Exterior;PSDB;Clóvis Carvalho;19/07/1999;08/09/1999;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Desenvolvimento, Indústria e Comércio Exterior;sfp;Alcides Tápias;14/09/1999;31/07/2001;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Desenvolvimento, Indústria e Comércio Exterior;sfp;Sérgio Silva do Amaral;23/08/2001;31/12/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Minas e Energia;PFL;Rodolpho Tourinho Neto;01/01/1999;23/02/2001;PFL
FHC 2;01/01/1999;01/01/2003;Ministério;Minas e Energia;PFL;José Jorge de Vasconcelos Lima;13/03/2001;08/03/2002;PFL
FHC 2;01/01/1999;01/01/2003;Ministério;Minas e Energia;ind;Francisco Luiz Gomide;03/04/2002;31/12/2002;PMDB
FHC 2;01/01/1999;01/01/2003;Ministério;Orçamento e Gestão;PTB;Paulo Paiva;01/01/1999;31/03/1999;PTB
FHC 2;01/01/1999;01/01/2003;Ministério;Orçamento e Gestão;sfp;Pedro Parente;31/03/1999;18/07/1999;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Planejamento, Orçamento e Gestão;sfp;Martus Tavares;19/07/1999;03/04/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Planejamento, Orçamento e Gestão;sfp;Guilherme Gomes Dias;03/04/2002;31/12/2002;sfp
FHC 2;01/01/1999;01/01/2003;Secretaria;Políticas Regionais;PMDB;Ovídio de Ângelis;01/01/1999;18/07/1999;PMDB
FHC 2;01/01/1999;01/01/2003;Ministério;Integração Nacional;PMDB;Fernando Luiz Gonçalves Bezerra;19/07/1999;15/05/2001;PMDB
FHC 2;01/01/1999;01/01/2003;Ministério;Integração Nacional;PMDB;Ramez Tebet;20/06/2001;20/09/2001;PMDB
FHC 2;01/01/1999;01/01/2003;Ministério;Integração Nacional;PMDB;Pedro Augusto Sanguinetti Ferreira (interino);20/09/2001;14/11/2001;
FHC 2;01/01/1999;01/01/2003;Ministério;Integração Nacional;PMDB;Ney Suassuna;14/11/2001;05/04/2002;PMDB
FHC 2;01/01/1999;01/01/2003;Ministério;Integração Nacional;PMDB;Mary Dayse Kinzo (interina);05/04/2002;05/06/2002;
FHC 2;01/01/1999;01/01/2003;Ministério;Integração Nacional;PMDB;José Luciano Barbosa da Silva;05/06/2002;31/12/2002;PMDB
FHC 2;01/01/1999;01/01/2003;Ministério;Comunicações;PSDB;Pimenta da Veiga;01/01/1999;03/04/2002;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Comunicações;PSDB;Juarez Martinho do Nascimento;03/04/2002;31/12/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Previdência e Assistência Social;PFL;Waldeck Ornélas;01/01/1999;24/02/2001;PFL
FHC 2;01/01/1999;01/01/2003;Ministério;Previdência e Assistência Social;PFL;Roberto Brant;12/03/2001;08/03/2002;PFL
FHC 2;01/01/1999;01/01/2003;Ministério;Previdência e Assistência Social;sfp;José Cechin;08/03/2002;31/12/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Meio Ambiente;PFL;José Sarney Filho;01/01/1999;05/03/2002;PFL
FHC 2;01/01/1999;01/01/2003;Ministério;Meio Ambiente;sfp;José Carlos Carvalho;05/03/2002;31/12/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Ciência e Tecnologia;PSDB;Luís Carlos Bresser Pereira;01/01/1999;19/07/1999;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Ciência e Tecnologia;sfp;Ronaldo Sardenberg;19/07/1999;31/12/2002;sfp
FHC 2;01/01/1999;01/01/2003;Ministério;Cultura;ind;Francisco Weffort;01/01/1999;31/12/2002;PT
FHC 2;01/01/1999;01/01/2003;Ministério;Política Fundiária/ Política e Desenvolvimento Agrário;ind;Raul Jungmann;01/01/1999;04/04/2002;PPS
FHC 2;01/01/1999;01/01/2003;Ministério;Política e Desenvolvimento Agrário;PSDB;José Abrão ;04/04/2002;31/12/2002;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Esporte e Turismo;PFL;Rafael Greca;01/01/1999;02/05/2000;PFL
FHC 2;01/01/1999;01/01/2003;Ministério;Esporte e Turismo;PFL;Carlos Melles;09/05/2000;08/03/2002;PFL
FHC 2;01/01/1999;01/01/2003;Ministério;Esporte e Turismo;PSDB;Caio Luíz Cibella de Carvalho;03/04/2002;31/12/2002;PSDB
FHC 2;01/01/1999;01/01/2003;Ministério;Projetos Especiais;sfp;Ronaldo Sardenberg;01/01/1999;19/07/1999;sfp
FHC 2;01/01/1999;01/01/2003;Secretaria;Desenvolvimento Urbano;sfp;Sérgio Cutolo;26/01/1999;30/07/1999;sfp
FHC 2;01/01/1999;01/01/2003;Secretaria;Desenvolvimento Urbano;PMDB;Ovídio de Angelis;03/08/1999;31/12/2002;PMDB
FHC 2;01/01/1999;01/01/2003;Secretaria;Direitos Humanos;PSDB;José Gregori;01/01/1999;14/04/2000;PSDB
FHC 2;01/01/1999;01/01/2003;Secretaria;Secretaria-Geral (relação com o Congresso);PSDB;Aloysio Nunes;03/08/1999;14/11/2001;PSDB
FHC 2;01/01/1999;01/01/2003;Secretaria;Secretaria-Geral (relação com o Congresso);PSDB;Arthur Virgílio;14/11/2001;02/04/2002;PSDB
FHC 2;01/01/1999;01/01/2003;Secretaria;Secretaria-Geral (relação com o Congresso);PSDB;Euclides Scalco;03/04/2002;31/12/2002;PSDB
FHC 2;01/01/1999;01/01/2003;Secretaria;Relações Institucionais;PSDB;Eduardo Graeff;01/01/1999;30/07/1999;PSDB
FHC 2;01/01/1999;01/01/2003;Secretaria;Administração e Patrimônio;sfp;Claúdia Costin;01/01/1999;30/07/1999;sfp
FHC 2;01/01/1999;01/01/2003;Secretaria;Planejamento e Avaliação;sfp;Edward Amadeo;01/01/1999;30/07/1999;sfp
Lula 1;01/01/2003;01/01/2007;Órgão da PR;Casa Civil;PT;José Dirceu;01/01/2003;21/06/2005;PT
Lula 1;01/01/2003;01/01/2007;Órgão da PR;Casa Civil;PT;Dilma Rousseff;21/06/2005;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Justiça;sfp;Márcio Thomaz Bastos;01/01/2003;31/12/2006;sfp
Lula 1;01/01/2003;01/01/2007;Ministério;Defesa;sfp;José Viegas Filho;01/01/2003;08/11/2004;sfp
Lula 1;01/01/2003;01/01/2007;Ministério;Defesa;PL;José Alencar Gomes da Silva;08/11/2004;31/03/2006;PL
Lula 1;01/01/2003;01/01/2007;Ministério;Defesa;PT;Waldir Pires;03/04/2006;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Relações Exteriores;sfp;Celso Amorim;01/01/2003;31/12/2006;sfp
Lula 1;01/01/2003;01/01/2007;Ministério;Fazenda;PT;Antônio Palocci Filho;01/01/2003;28/03/2006;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Fazenda;PT;Guido Mantega;28/03/2006;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Transportes;PL;Anderson Adauto;01/01/2003;15/03/2004;PL
Lula 1;01/01/2003;01/01/2007;Ministério;Transportes;PL;Alfredo Nascimento;15/03/2004;31/03/2006;PL
Lula 1;01/01/2003;01/01/2007;Ministério;Transportes;PL;Paulo Sérgio Passos;03/04/2006;31/12/2006;PL
Lula 1;01/01/2003;01/01/2007;Ministério;Agricultura, Pecuária e Abastecimento;sfp;Roberto Rodrigues;01/01/2003;03/07/2006;sfp
Lula 1;01/01/2003;01/01/2007;Ministério;Agricultura, Pecuária e Abastecimento;sfp;Luis Carlos Guedes Pinto;03/07/2006;31/12/2006;sfp
Lula 1;01/01/2003;01/01/2007;Ministério;Educação;PT;Cristóvam Buarque;01/01/2003;23/01/2004;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Educação;PT;Tarso Genro;23/01/2004;01/08/2005;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Educação;PT;Fernando Haddad;01/08/2005;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Trabalho e Emprego;PT;Jacques Wagner;01/01/2003;23/01/2004;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Trabalho e Emprego;PT;Ricardo Berzoini;23/01/2004;12/07/2005;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Trabalho e Emprego;PT;Luiz Marinho;12/07/2005;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Saúde;PT;Humberto Costa;01/01/2003;08/07/2005;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Saúde;PMDB;José Saraiva Felipe;08/07/2005;31/03/2006;PMDB
Lula 1;01/01/2003;01/01/2007;Ministério;Saúde;PMDB;Agenor Álvares;03/04/2006;31/12/2006;PMDB
Lula 1;01/01/2003;01/01/2007;Ministério;Desenvolvimento, Indústria e Comércio Exterior;sfp;Luiz Fernando Furlan;01/01/2003;31/12/2006;sfp
Lula 1;01/01/2003;01/01/2007;Ministério;Minas e Energia;PT;Dilma Rousseff;01/01/2003;21/06/2005;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Minas e Energia;PMDB;Silas Rondeau;08/07/2005;31/12/2006;PMDB
Lula 1;01/01/2003;01/01/2007;Ministério;Planejamento, Orçamento e Gestão;PT;Guido Mantega;01/01/2003;19/11/2004;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Planejamento, Orçamento e Gestão;PT;Nelson Machado (interino);19/11/2004;22/03/2005;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Planejamento, Orçamento e Gestão;PT;Paulo Bernardo;22/03/2005;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Integração Nacional;PPS;Ciro Gomes;01/01/2003;10/12/2004;PPS
Lula 1;01/01/2003;01/01/2007;Ministério;Integração Nacional;ind;Ciro Gomes;11/12/2004;28/06/2005;PPS
Lula 1;01/01/2003;01/01/2007;Ministério;Integração Nacional;PSB;Ciro Gomes;29/06/2005;31/03/2006;PSB
Lula 1;01/01/2003;01/01/2007;Ministério;Integração Nacional;PSB;Pedro Brito do Nascimento;03/04/2006;31/12/2006;PSB
Lula 1;01/01/2003;01/01/2007;Ministério;Comunicações;PDT;Miro Teixeira;01/01/2003;23/01/2004;PDT
Lula 1;01/01/2003;01/01/2007;Ministério;Comunicações;PMDB;Eunício Oliveira;23/01/2004;08/07/2005;PMDB
Lula 1;01/01/2003;01/01/2007;Ministério;Comunicações;PMDB;Hélio Costa;08/07/2005;31/12/2006;PMDB
Lula 1;01/01/2003;01/01/2007;Ministério;Previdência Social;PT;Ricardo Berzoini;01/01/2003;23/01/2004;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Previdência Social;PMDB;Amir Lando;23/01/2004;22/03/2005;PMDB
Lula 1;01/01/2003;01/01/2007;Ministério;Previdência Social;PMDB;Romero Jucá Filho;22/03/2005;22/07/2005;PMDB
Lula 1;01/01/2003;01/01/2007;Ministério;Previdência Social;PT;Nelson Machado;22/07/2005;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Meio Ambiente;PT;Marina Silva;01/01/2003;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Ciência e Tecnologia;PSB;Roberto Amaral;01/01/2003;22/01/2004;PSB
Lula 1;01/01/2003;01/01/2007;Ministério;Ciência e Tecnologia;PSB;Eduardo Campos;23/01/2004;21/07/2005;PSB
Lula 1;01/01/2003;01/01/2007;Ministério;Ciência e Tecnologia;PSB;Sérgio Machado Rezende;21/07/2005;31/12/2006;PSB
Lula 1;01/01/2003;01/01/2007;Ministério;Cultura;PV;Gilberto Gil;01/01/2003;22/05/2005;PV
Lula 1;01/01/2003;01/01/2007;Ministério;Cultura;ind;Gilberto Gil;23/05/2005;31/12/2006;PV
Lula 1;01/01/2003;01/01/2007;Ministério;Desenvolvimento Agrário;PT;Miguel Rossetto;01/01/2003;31/03/2006;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Desenvolvimento Agrário;PT;Guilherme Cassel;03/04/2006;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Assistência Social;PT;Benedita da Silva;01/01/2003;23/01/2004;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Desenvolvimento Social e Combate à Fome;PT;Patrus Ananias;23/01/2004;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Esporte;PCdoB;Agnelo Queiroz;01/01/2003;31/03/2006;PCdoB
Lula 1;01/01/2003;01/01/2007;Ministério;Esporte;PCdoB;Orlando Silva;03/04/2006;31/12/2006;PCdoB
Lula 1;01/01/2003;01/01/2007;Ministério;Cidades;PT;Olívio Dutra;01/01/2003;22/07/2005;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Cidades;PP;Márcio Fortes de Almeida;22/07/2005;31/12/2006;PP
Lula 1;01/01/2003;01/01/2007;Ministério;Turismo;PTB;Walfrido Mares Guia;01/01/2003;31/12/2006;PTB
Lula 1;01/01/2003;01/01/2007;Secretaria;Direitos Humanos;PT;Nilmário Miranda;01/01/2003;20/07/2005;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Direitos Humanos;PT;Mário Mamede Filho (interino);20/07/2005;20/12/2005;
Lula 1;01/01/2003;01/01/2007;Secretaria;Direitos Humanos;PT;Paulo de Tarso Vannuchi;21/12/2005;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Secretaria-Geral (juventude);PT;Luis Dulci;05/12/2005;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Coordenação Política e Assuntos Institucionais;PCdoB;Aldo Rebelo;23/01/2004;20/07/2005;PCdoB
Lula 1;01/01/2003;01/01/2007;Secretaria;Coordenação Política e Assuntos Institucionais;PT;Jacques Wagner;20/07/2005;31/03/2006;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Relações Institucionais;PT;Tarso Genro;03/04/2006;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Aqüicultura e Pesca;PT;José Fristsch;01/01/2003;31/03/2006;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Aqüicultura e Pesca;PT;Altemir Gregolin;03/04/2006;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Mulheres;PT;Emília Fernandes;01/01/2003;23/01/2004;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Mulheres;PT;Nicéia Freire;23/01/2004;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Igualdade Racial;PT;Matilde Ribeiro;21/03/2003;31/12/2006;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Desenvolvimento Econômico e Social;PT;Tarso Genro;01/01/2003;22/01/2004;PT
Lula 1;01/01/2003;01/01/2007;Secretaria;Desenvolvimento Econômico e Social;PT;Jacques Wagner;23/01/2004;22/07/2005;PT
Lula 1;01/01/2003;01/01/2007;Ministério;Segurança Alimentar e Combate à Fome;PT;José Graziano;01/01/2003;23/01/2004;PT
Lula 2;01/01/2007;01/01/2011;Órgão da PR;Casa Civil;PT;Dilma Rousseff;01/01/2007;30/03/2010;PT
Lula 2;01/01/2007;01/01/2011;Órgão da PR;Casa Civil;PT;Erenice Guerra;30/03/2010;16/09/2010;PT
Lula 2;01/01/2007;01/01/2011;Órgão da PR;Casa Civil;PT;Carlos Eduardo Esteves Lima (interino);17/09/2010;31/12/2010;sfp
Lula 2;01/01/2007;01/01/2011;Ministério;Justiça;sfp;Márcio Thomaz Bastos;01/01/2007;16/03/2007;sfp
Lula 2;01/01/2007;01/01/2011;Ministério;Justiça;PT;Tarso Genro;16/03/2007;10/02/2010;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Justiça;PT;Luiz Paulo Barreto;10/02/2010;31/12/2010;sfp
Lula 2;01/01/2007;01/01/2011;Ministério;Defesa;PT;Waldir Pires;01/01/2007;25/07/2007;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Defesa;PMDB;Nelson Jobim;25/07/2007;31/12/2010;PMDB
Lula 2;01/01/2007;01/01/2011;Ministério;Relações Exteriores;PT;Celso Amorim;01/01/2007;29/09/2009;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Relações Exteriores;PT;Celso Amorim;30/09/2009;31/12/2010;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Fazenda ;PT;Guido Mantega;01/01/2007;31/12/2010;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Transportes;PR;Paulo Sérgio Passos;01/01/2007;29/03/2007;PR
Lula 2;01/01/2007;01/01/2011;Ministério;Transportes;PR;Alfredo Nascimento;29/03/2007;31/03/2010;PR
Lula 2;01/01/2007;01/01/2011;Ministério;Transportes;PR;Paulo Sérgio Passos;31/03/2010;31/12/2010;PR
Lula 2;01/01/2007;01/01/2011;Ministério;Agricultura, Pecuária e Abastecimento;sfp;Luis Carlos Guedes Pinto;01/01/2007;23/03/2007;sfp
Lula 2;01/01/2007;01/01/2011;Ministério;Agricultura, Pecuária e Abastecimento;PMDB;Reinhold Stephanes;23/03/2007;31/03/2010;PMDB
Lula 2;01/01/2007;01/01/2011;Ministério;Agricultura, Pecuária e Abastecimento;PMDB;Wagner Rossi;31/03/2010;31/12/2010;PMDB
Lula 2;01/01/2007;01/01/2011;Ministério;Educação;PT;Fernando Haddad;01/01/2007;31/12/2010;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Trabalho e Emprego;PT;Luiz Marinho;01/01/2007;29/03/2007;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Trabalho e Emprego;PDT;Carlos Lupi;29/03/2007;31/12/2010;PDT
Lula 2;01/01/2007;01/01/2011;Ministério;Saúde;PMDB;Agenor Álvares;01/01/2007;16/03/2007;PMDB
Lula 2;01/01/2007;01/01/2011;Ministério;Saúde;PMDB;José Gomes Temporão;16/03/2007;31/12/2010;PMDB
Lula 2;01/01/2007;01/01/2011;Ministério;Desenvolvimento, Indústria e Comércio Exterior;sfp;Luiz Fernando Furlan;01/01/2007;29/03/2007;sfp
Lula 2;01/01/2007;01/01/2011;Ministério;Desenvolvimento, Indústria e Comércio Exterior;sfp;Miguel Jorge;29/03/2007;31/12/2010;sfp
Lula 2;01/01/2007;01/01/2011;Ministério;Minas e Energia;PMDB;Silas Rondeau;01/01/2007;24/05/2007;PMDB
Lula 2;01/01/2007;01/01/2011;Ministério;Minas e Energia;sfp;Nelson José Hubner Moreira (interino);24/05/2007;21/01/2008;sfp
Lula 2;01/01/2007;01/01/2011;Ministério;Minas e Energia;PMDB;Edison Lobão;21/01/2008;31/03/2010;PMDB
Lula 2;01/01/2007;01/01/2011;Ministério;Minas e Energia;PMDB;Márcio Pereira Zimmermann;31/03/2010;31/12/2010;sfp
Lula 2;01/01/2007;01/01/2011;Ministério;Planejamento, Orçamento e Gestão;PT;Paulo Bernardo;01/01/2007;31/12/2010;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Integração Nacional;PSB;Pedro Brito do Nascimento;01/01/2007;16/03/2007;PSB
Lula 2;01/01/2007;01/01/2011;Ministério;Integração Nacional;PMDB;Geddel Vieira Lima;16/03/2007;31/03/2010;PMDB
Lula 2;01/01/2007;01/01/2011;Ministério;Integração Nacional;PMDB;João Santana;31/03/2010;31/12/2010;PMDB
Lula 2;01/01/2007;01/01/2011;Ministério;Comunicações;PMDB;Hélio Costa;01/01/2007;31/03/2010;PMDB
Lula 2;01/01/2007;01/01/2011;Ministério;Comunicações;PMDB;José Artur Filardi Leite;31/03/2010;31/12/2010;PMDB
Lula 2;01/01/2007;01/01/2011;Ministério;Previdência Social;PT;Nelson Machado;01/01/2007;29/03/2007;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Previdência Social;PT;Luiz Marinho;29/03/2007;04/06/2008;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Previdência Social;PT;José Barroso Pimentel;11/06/2008;31/03/2010;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Previdência Social;PT;Carlos Eduardo Gabas;31/03/2010;31/12/2010;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Meio Ambiente;PT;Marina Silva;01/01/2007;15/05/2008;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Meio Ambiente;PT;Carlos Minc;27/05/2008;31/03/2010;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Meio Ambiente;sfp;Izabela Teixeira;31/03/2010;31/12/2010;sfp
Lula 2;01/01/2007;01/01/2011;Ministério;Ciência e Tecnologia;PSB;Sérgio Machado Resende;01/01/2007;31/12/2010;PSB
Lula 2;01/01/2007;01/01/2011;Ministério;Cultura;PV;Gilberto Gil;01/01/2007;01/08/2008;PV
Lula 2;01/01/2007;01/01/2011;Ministério;Cultura;PV;Juca Ferreira;01/08/2008;09/03/2010;PV
Lula 2;01/01/2007;01/01/2011;Ministério;Cultura;ind;Juca Ferreira;10/03/2010;31/12/2010;PV
Lula 2;01/01/2007;01/01/2011;Ministério;Desenvolvimento Agrário;PT;Guilherme Cassel;01/01/2007;31/12/2010;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Desenvolvimento Social e Combate à Fome;PT;Patrus Ananias;01/01/2007;31/03/2010;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Desenvolvimento Social e Combate à Fome;PT;Márcia Lopes;31/03/2010;31/12/2010;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Esporte;PCdoB;Orlando Silva;01/01/2007;31/12/2010;PCdoB
Lula 2;01/01/2007;01/01/2011;Secretaria/Ministério/Secretaria;Planejamento de Longo Prazo/ Assuntos Estratégicos;PRB;Roberto Mangabeira Unger;18/06/2007;03/07/2009;PRB
Lula 2;01/01/2007;01/01/2011;Secretaria;Assuntos Estratégicos;PRB;Daniel Vargas (interino);04/07/2009;20/10/2009;sfp
Lula 2;01/01/2007;01/01/2011;Secretaria;Assuntos Estratégicos;PRB;Samuel Pinheiro Guimarães;20/10/2009;31/12/2010;sfp
Lula 2;01/01/2007;01/01/2011;Ministério;Cidades;PP;Márcio Fortes de Almeida;01/01/2007;31/12/2010;PP
Lula 2;01/01/2007;01/01/2011;Ministério;Turismo;PTB;Walfrido Mares Guia;01/01/2007;23/03/2007;PTB
Lula 2;01/01/2007;01/01/2011;Ministério;Turismo;PT;Marta Suplicy;23/03/2007;04/06/2008;PT
Lula 2;01/01/2007;01/01/2011;Ministério;Turismo;PT;Luiz Barretto Filho;04/06/2008;31/12/2010;PT
Lula 2;01/01/2007;01/01/2011;Secretaria;Direitos Humanos;PT;Paulo de Tarso Vannuchi;01/01/2007;31/12/2010;PT
Lula 2;01/01/2007;01/01/2011;Secretaria;Secretaria-Geral (juventude);PT;Luis Dulci;01/01/2007;31/12/2010;PT
Lula 2;01/01/2007;01/01/2011;Secretaria;Relações Institucionais;PT;Tarso Genro;01/01/2007;16/03/2007;PT
Lula 2;01/01/2007;01/01/2011;Secretaria;Relações Institucionais;PTB;Walfrido Mares Guia;23/03/2007;26/11/2007;PTB
